CHAVE_PRESTADOR;GRUPO
22132;COOPERADO
23936;COOPERADO
22176;COOPERADO
23837;COOPERADO
22154;COOPERADO
28281;CLINICA-TERAPIAS
24288;CLINICA-TERAPIAS
29689;COOPERADO
23474;COOPERADO
22330;COOPERADO
24079;COOPERADO
24200;COOPERADO
550117645;INTERCÂMBIO
550117711;INTERCÂMBIO
22264;COOPERADO
24068;COOPERADO
22363;COOPERADO
23430;COOPERADO
24156;COOPERADO
24541;CLINICA-TERAPIAS
22385;COOPERADO
23727;COOPERADO
23639;COOPERADO
22407;COOPERADO
23584;COOPERADO
23628;COOPERADO
550117733;INTERCÂMBIO
550119196;INTERCÂMBIO
27896;CLINICAS
28006;LABORATORIOS
27511;HOSPITAIS
27522;HOSPITAIS
27588;LABORATORIOS
27665;LABORATORIOS
29601;CLINICAS
27687;CLINICAS
29029;CLINICAS
29040;CLINICAS
27709;CLINICAS
28017;HOSPITAIS
27764;CLINICAS
28985;LABORATORIOS
28369;LABORATORIOS
27599;LABORATORIOS
29612;LABORATORIOS
29799;CLINICAS
27566;HOSPITAIS
29634;CLINICAS
27951;CLINICAS
27544;CLINICAS
23947;COOPERADO
23793;COOPERADO
24299;CLINICA-TERAPIAS
23309;COOPERADO
23738;COOPERADO
23683;COOPERADO
22066;COOPERADO
22033;COOPERADO
23815;COOPERADO
24244;CLINICA-TERAPIAS
22011;COOPERADO
29326;COOPERADO
22110;COOPERADO
23650;COOPERADO
29348;COOPERADO
24431;COOPERADO
550117238;INTERCÂMBIO
550117249;INTERCÂMBIO
23331;COOPERADO
22891;COOPERADO
24508;CLINICA-TERAPIAS
22704;COOPERADO
24112;COOPERADO
22836;COOPERADO
22858;COOPERADO
29568;COOPERADO
24387;CLINICA-TERAPIAS
29205;COOPERADO
22935;COOPERADO
28952;COOPERADO
23529;COOPERADO
550117260;INTERCÂMBIO
550118888;INTERCÂMBIO
22220;COOPERADO
29667;COOPERADO
29744;COOPERADO
30052;CLINICAS
24574;CLINICA-TERAPIAS
95271;RECURSOS PROPRIOS
95282;NÃO-COOPERADOS
95293;NÃO-COOPERADOS
95304;NÃO-COOPERADOS
95315;NÃO-COOPERADOS
22000;RECURSOS PROPRIOS
65901;CLINICA-TERAPIAS
22022;RECURSOS PROPRIOS
23782;COOPERADO
23353;COOPERADO
550118899;INTERCÂMBIO
22451;COOPERADO
24090;COOPERADO
550118910;INTERCÂMBIO
22231;COOPERADO
22297;COOPERADO
550119031;INTERCÂMBIO
550119042;INTERCÂMBIO
22396;COOPERADO
22506;COOPERADO
22528;COOPERADO
22583;COOPERADO
550119053;INTERCÂMBIO
550119064;INTERCÂMBIO
550119075;INTERCÂMBIO
27720;CLINICAS
27830;CLINICAS
27929;LABORATORIOS
28083;CLINICAS
28094;LABORATORIOS
28171;CLINICAS
28446;CLINICAS
28875;CLINICAS
29282;CLINICAS
29623;CLINICAS
29645;CLINICAS
29722;CLINICAS
29766;LABORATORIOS
22077;COOPERADO
22088;COOPERADO
22099;COOPERADO
22121;COOPERADO
22165;COOPERADO
22209;COOPERADO
879999989;INTERCÂMBIO
24596;COOPERADO
22242;COOPERADO
22561;COOPERADO
23672;COOPERADO
29733;CLINICA-TERAPIAS
22946;COOPERADO
29524;COOPERADO
28292;CLINICA-TERAPIAS
23342;COOPERADO
23507;COOPERADO
22990;COOPERADO
29535;COOPERADO
23408;COOPERADO
28578;CLINICA-TERAPIAS
23034;COOPERADO
23892;COOPERADO
550119086;INTERCÂMBIO
550119097;INTERCÂMBIO
550119174;INTERCÂMBIO
550119185;INTERCÂMBIO
24475;CLINICA-TERAPIAS
29546;COOPERADO
22550;COOPERADO
23397;COOPERADO
22495;COOPERADO
23914;COOPERADO
24101;COOPERADO
23705;COOPERADO
24442;COOPERADO
23254;COOPERADO
29777;COOPERADO
23716;COOPERADO
24255;CLINICA-TERAPIAS
22605;COOPERADO
29513;CLINICA-TERAPIAS
24464;COOPERADO
23969;COOPERADO
22682;COOPERADO
22660;COOPERADO
633226;CLINICA-TERAPIAS
29260;COOPERADO
23848;COOPERADO
22693;COOPERADO
22715;COOPERADO
22770;COOPERADO
24354;CLINICA-TERAPIAS
22814;COOPERADO
550117634;INTERCÂMBIO
550118734;INTERCÂMBIO
23144;COOPERADO
23298;COOPERADO
23320;COOPERADO
23463;COOPERADO
23540;COOPERADO
23661;COOPERADO
23903;COOPERADO
24024;COOPERADO
24134;COOPERADO
24266;CLINICA-TERAPIAS
24277;CLINICA-TERAPIAS
24321;CLINICA-TERAPIAS
24332;CLINICA-TERAPIAS
27962;LABORATORIOS
28325;CLINICA-TERAPIAS
28853;COOPERADO
29084;CLINICA-TERAPIAS
550000132;INTERCÂMBIO
